INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -3.9070325743145573e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -5.134142477288, 'flips': 4, 'total_E': -4.615877442027077e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -4.6274545250010926, 'flips': 4, 'total_E': -5.254766488275901e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 2.56544104278814, 'flips': 2, 'total_E': -4.9005691272474605e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.7486768996005551, 'flips': 1, 'total_E': -4.7972031259718e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -0.7486768996005551, 'flips': 1, 'total_E': -4.9005691272474605e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -4.245554330166985, 'flips': 3, 'total_E': -5.486731161286532e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -3.0492269931729923, 'flips': 4, 'total_E': -5.907722381176262e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 5.564917012266916, 'flips': 1, 'total_E': -5.139402670369332e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -4.948617281334458, 'flips': 4, 'total_E': -5.822633020455046e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 3.7650287714938693, 'flips': 5, 'total_E': -5.302814699621622e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 7.448424814440258, 'flips': 6, 'total_E': -4.274448672458409e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -1.8842223479305868, 'flips': 4, 'total_E': -4.53459364250321e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -7.389748718021353, 'flips': 5, 'total_E': -5.554858560281957e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -3.6374288055541593, 'flips': 5, 'total_E': -6.057059804577911e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -3.2380936952038355, 'flips': 4, 'total_E': -6.504126886796859e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 1.4278257642789705, 'flips': 4, 'total_E': -6.30699426543426e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -1.4099394041481745, 'flips': 6, 'total_E': -6.501657408274037e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 9.680984487844016, 'flips': 4, 'total_E': -5.165053253058302e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 1.8936086216560184, 'flips': 6, 'total_E': -4.903612368070226e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -1.8825143857469415, 'flips': 1, 'total_E': -5.163521528486939e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -5.896415008588876, 'flips': 7, 'total_E': -5.977609477006261e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 1.0173428034664198, 'flips': 6, 'total_E': -5.83715014457995e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.16525228994777602, 'flips': 2, 'total_E': -5.814334603693539e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 2.1303928206685985, 'flips': 4, 'total_E': -5.520202131947211e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -2.983476750613636, 'flips': 2, 'total_E': -5.932115551173008e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 1.4532478301328342, 'flips': 5, 'total_E': -5.731473034830501e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.0, 'flips': 0, 'total_E': -5.731473034830501e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 2.7153254096862103, 'flips': 4, 'total_E': -5.356581903674715e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 3.324091061766301, 'flips': 5, 'total_E': -4.897641603641057e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -3.5526545537481797, 'flips': 3, 'total_E': -5.388138499338844e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -5.101267356008325, 'flips': 3, 'total_E': -6.092444466719398e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': -1.8496392644672632, 'flips': 1, 'total_E': -6.3478147268041445e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
INFO:root:{'delta_E': 0.4738128310072462, 'flips': 3, 'total_E': -6.282397805672412e-22, 'RoG': None, 'end_to_end': 7.937253933193772}
